"filename", "language", "Dart", "HTML", "YAML", "JSON", "Properties", "Groovy", "Markdown", "XML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\gen\assets.gen.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 32, 156
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\lang\language_manager.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\lang\locale_keys.g.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 36
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\light_theme_colors.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\theme.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 71
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\validation\regex_validations.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\announcement_card_model.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\homework_model.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 44
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\user_model.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\admin_select_feature.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 89
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\cross_check_container.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\done_action_button.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\main_button.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\next_action_button.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\admin_features_select_widget.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\all_homework_card_large.dart", "Dart", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 164
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\coming_homeworks_card.dart", "Dart", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 261
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_large.dart", "Dart", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 216
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_mini.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\pushed_homework_card_large.dart", "Dart", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 168
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\drawer\homework_drawer.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 100
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\auth_text_field.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\main_text_field.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\oguzk\Documents\GitHub\biren\pubspec.yaml", "YAML", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 17, 17, 86
"c:\Users\oguzk\Documents\GitHub\biren\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\oguzk\Documents\GitHub\biren\web\index.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 129
"c:\Users\oguzk\Documents\GitHub\biren\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 4552, 98, 55, 878, 8, 94, 13, 173, 1, 19, 393, 664, 6948
